full_name,pos,stub,year,game_date,game_num,week_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,fumbles,fumbles_lost,fumbles_forced,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,top_n,reason,sacks,tackles_solo,tackles_assists,tackles_combined,tackles_loss,qb_hits,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td,pass_defended,offense,off_pct,defense,def_pct,special_teams,st_pct,punt,punt_yds,punt_yds_per_punt,punt_blocked,xpm,xpa,xp_perc,fgm,fga,fg_perc,safety_md,unique_id
Chris Warren,RB,/players/W/WarrCh00.htm,,162 Games,,,,,,,70-92-0,,1791,7696,4.30,52,365,273,1935,7.09,5,,5.30,,,,,,,,,,,,91,1884,20.70,0,2,58,352,24,15,0,0,0,0,False,,,,,,,,96,830,8.65,1,,,,,,,,,,,,,,,,,,,,,,"Chris Warren,,RB,"
J.J. Stokes,WR,/players/S/StokJ.00.htm,,118 Games,,,,,,,69-49-0,,1,6,6.00,0,559,342,4293,12.55,30,61.2%,7.68,,,,,,,,,,,,,,,,2,30,184,2,0,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"J.J. Stokes,,WR,"
Jeff George,QB,/players/G/GeorJe00.htm,,131 Games,,,,,,,48-83-0,,168,307,1.83,2,,,,,,,,2298,3967,57.93,27602,154,113,80.4,358,2691,6.96,6.45,,,,,,2,12,46,19,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jeff George,,QB,"
J.R. Redmond,RB,/players/R/RedmJ.00.htm,,50 Games,,,,,,,21-29-0,,194,676,3.48,1,105,68,502,7.38,2,64.8%,4.78,,,,,,,,,,,,12,247,20.58,0,,3,18,4,1,0,0,0,0,False,,0.0,11,2,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"J.R. Redmond,,RB,"
Terrence Wilkins ,WR,/players/W/WilkTe00.htm,,72 Games,,,,,,,43-29-0,,10,66,6.60,0,197,124,1497,12.07,7,62.9%,7.60,,,,,,,,,,,,223,5091,22.83,1,,12,72,17,6,0,2,0,1,False,,0.0,4,3,7,0,0,144,1307,9.08,3,,,,,,,,,,,,,,,,,,,,,,"Terrence Wilkins ,,WR,"
Leslie Shepherd,WR,/players/S/ShepLe00.htm,,78 Games,,,,,,,38-40-0,,28,285,10.18,4,407,183,2832,15.48,22,45.0%,6.96,,,,,,,,,,,,4,99,24.75,0,1,26,158,,,,,,,False,,,,,,,,15,164,10.93,0,,,,,,,,,,,,,,,,,,,,,,"Leslie Shepherd,,WR,"
Ricky Proehl,WR,/players/P/ProeRi00.htm,,244 Games,,,,,,,117-127-0,,19,115,6.05,0,994,669,8878,13.27,54,,8.93,0,3,0.00,0,0,1,0.0,1,1,0.00,-15.00,10,153,15.30,0,3,54,330,4,1,0,0,0,0,False,,,,,,,,13,87,6.69,0,,,,,,,,,,,,,,,,,,,,,,"Ricky Proehl,,WR,"
Napoleon Kaufman ,RB,/players/K/KaufNa00.htm,,91 Games,,,,,,,45-46-0,,978,4792,4.90,12,177,127,1107,8.72,5,71.8%,6.25,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,98,2149,21.93,1,,18,108,16,12,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Napoleon Kaufman ,,RB,"
Kevin Johnson,WR,/players/J/JohnKe01.htm,,101 Games,,,,,,,39-62-0,,2,-6,-3.00,0,671,384,4595,11.97,25,57.2%,6.85,2,7,28.57,56,1,1,60.4,0,0,8.00,4.43,2,39,19.50,0,,25,150,4,2,0,0,0,0,False,,,,,,,,33,245,7.42,0,,,,,,,,,,,,,,,,,,,,,,"Kevin Johnson,,WR,"
Troy Aikman,QB,/players/A/AikmTr00.htm,,165 Games,,,,,,,94-71-0,,327,1016,3.11,9,0,2,-19,-9.50,0,,,2898,4715,61.46,32942,165,141,81.6,259,1748,6.99,6.34,,,,,,9,54,37,21,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Troy Aikman,,QB,"
Brandon Bennett,RB,/players/B/BennBr00.htm,,81 Games,,,,,,,28-53-0,,312,1144,3.67,6,124,90,756,8.40,1,72.6%,6.10,,,,,,,,,,,,117,2675,22.86,1,,8,48,10,4,0,0,0,0,False,,0.0,32,3,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brandon Bennett,,RB,"
Randall Cunningham,QB,/players/C/CunnRa00.htm,,161 Games,,,,,,,94-66-1,,775,4928,6.36,35,2,2,-6,-3.00,0,,-3.00,2429,4289,56.63,29979,207,134,81.5,484,3537,6.99,6.55,,,,,1,35,212,28,10,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,20,894,44.70,0,,,,,,,,"Randall Cunningham,,QB,"
Jim Harbaugh ,QB,/players/H/HarbJi00.htm,,177 Games,,,,,,,83-94-0,,561,2787,4.97,18,2,2,-8,-4.00,0,,-4.00,2305,3918,58.83,26288,129,117,77.6,361,2132,6.71,6.02,,,,,,18,108,35,16,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jim Harbaugh ,,QB,"
Thomas Jones,RB,/players/J/JoneTh00.htm,,180 Games,,,,,,,85-95-0,,2678,10591,3.95,68,410,308,2023,6.57,3,75.1%,4.93,1,1,100.00,-4,0,0,79.2,1,1,-4.00,-4.00,17,271,15.94,0,,71,426,27,14,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thomas Jones,,RB,"
Germane Crowell,WR,/players/C/CrowGe00.htm,,53 Games,,,,,,,20-33-0,,8,91,11.38,0,353,184,2722,14.79,16,52.1%,7.71,,,,,,,,,,,,,,,,1,16,98,3,2,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Germane Crowell,,WR,"
Stephen Alexander,TE,/players/A/AlexSt00.htm,,118 Games,,,,,,,58-60-0,,,,,,428,247,2519,10.20,14,57.7%,5.89,,,,,,,,,,,,,,,,1,14,86,3,2,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stephen Alexander,,TE,"
